+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used | Partitions State          | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|   0 |   0 | -1, -1, -1, -1, -1, -1 | 100 | 100 |
|   0 |   1 | -1, -1, -1, -1, -1, 0 |  99 |  98 |
|   0 |  11 | -1, -1, -1, 1, -1, 0 |  89 |  88 |
|   5 |  12 | -1, -1, -1, 1, 2, 0 |  88 |  80 |
|  14 |  19 | -1, -1, 3, 1, 2, 0 |  81 |  65 |
|  97 |  18 | -1, -1, 3, 1, -1, 0 |  82 |  73 |
| 178 |   8 | -1, -1, 3, -1, -1, 0 |  92 |  83 |
| 189 |   7 | -1, -1, 3, -1, -1, -1 |  93 |  85 |
| 203 |   0 | -1, -1, -1, -1, -1, -1 | 100 | 100 |
+------------------------------------------------------------------------------------------+
